t,bridge_q,tip_y,pan_y,pan_pitch,hinge_drift,pipes_inside,pipes_crossed,gate_q,bridge_prop_angle,rack_hand_work,bridge_hand_work,plastic_work,penetration,plastic_front,ke,pe
10.2916666667,-5.16222826263e-05,0.598976194859,2.40026330948,-5.0566453865e-05,5.34110840817e-05,20,20,1.89662480354,0.0143566736951,41.5200233459,0,0,0,0,7.11127048581,588201.566064
10.3027777778,-8.04080846137e-05,0.598401546478,2.40040850639,-4.65449011244e-05,5.34110840817e-05,20,20,1.89662480354,0.0143567472696,41.5200233459,0,0,0,0,6.31788329828,588202.368246
10.3138888889,-0.000107114508864,0.59786772728,2.40054225922,-5.04672025272e-05,5.34110840817e-05,20,20,1.89662480354,0.0143567528576,41.5200233459,0,0,0,0,5.55764881675,588203.065703
10.325,-0.000131820197566,0.597374081612,2.40066623688,-6.12091389485e-05,5.34110840817e-05,20,20,1.89662480354,0.0143567528576,41.5200233459,0,0,0,0,4.8645229417,588203.659372
10.3361111111,-0.000154544904944,0.596919715405,2.40078020096,-6.28847556072e-05,5.34110840817e-05,20,20,1.89662480354,0.0143567528576,41.5200233459,0,0,0,0,4.22433560515,588204.20796
10.3472222222,-0.00017533582286,0.596503973007,2.4008846283,-6.28874331596e-05,5.34110840817e-05,20,20,1.89662480354,0.0143567528576,41.5200233459,0,0,0,0,3.6403255898,588204.743449
10.3583333333,-0.000194139487576,0.596128821373,2.40097999573,-5.88864022575e-05,5.34110840817e-05,20,20,1.89662480354,0.0143567528576,41.5200233459,0,0,0,0,3.11056605394,588205.341445
10.3694444444,-0.000210923375562,0.595793187618,2.40106511116,-5.8002086007e-05,5.34110840817e-05,20,20,1.89662480354,0.0143567528576,41.5200233459,0,0,0,0,2.63585637686,588205.766889
10.3805555556,-0.000225712748943,0.595497429371,2.40114355087,-7.1053065767e-05,5.34110840817e-05,20,20,1.89662480354,0.0143567528576,41.5200233459,0,0,0,0,2.21571576958,588206.198648
10.3916666667,-0.000238532142248,0.595241189003,2.40120863914,-8.15548264654e-05,5.34110840817e-05,20,20,1.89662480354,0.0143567528576,41.5200233459,0,0,0,0,1.85023080859,588206.556323
10.4027777778,-0.000249372038525,0.595024883747,2.40126490593,-8.10756901046e-05,5.34110840817e-05,20,20,1.89662480354,0.0143567528576,41.5200233459,0,0,0,0,1.53931906868,588206.905578
10.4138888889,-0.000258216954535,0.594848394394,2.40130901337,-7.19476447557e-05,5.34110840817e-05,20,20,1.89662480354,0.0143567528576,41.5200233459,0,0,0,0,1.28291837952,588207.142917
10.425,-0.000265070120804,0.594711244106,2.40134382248,-6.08697300777e-05,5.34110840817e-05,20,20,1.89662480354,0.0143567528576,41.5200233459,0,0,0,0,1.08102517379,588207.280853
10.4361111111,-0.000269941490842,0.594613850117,2.40136599541,-5.95394012635e-05,5.34110840817e-05,20,20,1.89662480354,0.0143567528576,41.5200233459,0,0,0,0,0.933585316078,588207.368913
